DISEASE.TRAIT,Grouping1,Grouping2,Theme1,Theme2,Theme3,Theme4,Theme5,Theme6,n
"Response to radiotherapy in prostate cancer (toxicity, rectal bleeding)",Prostate,-,Treatment response,Radiotherapy,Adverse effects,Toxicity,Rectal bleeding,-,6
Bladder cancer,Bladder,-,-,-,-,-,-,-,32
Cancer (pleiotropy),Cancer,-,Pleiotropy,-,-,-,-,-,26
Survival in head and neck cancer,Head + Neck,-,Survival,-,-,-,-,-,1
Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer,Prostate,-,Chemotherapy,Adverse effects,-,-,-,-,12
Response to carboplatin in ovarian cancer (MTT IC50),Ovarian,-,Treatment response,Chemotherapy,Carboplatin,-,-,-,2
Response to carboplatin and paclitaxel in ovarian cancer (MTT IC50),Ovarian,-,Treatment response,Chemotherapy,"Carboplatin, Paclitaxel",-,-,-,2
Response to carboplatin and paclitaxel in ovarian cancer (Caspase 3/7 EC50),Ovarian,-,Treatment response,Chemotherapy,"Carboplatin, Paclitaxel",-,-,-,3
Response to paclitaxel in ovarian cancer (MTT IC50),Ovarian,-,Treatment response,Chemotherapy,Paclitaxel,MTT IC50,-,-,1
Response to paclitaxel in ovarian cancer (Caspase 3/7 EC50),Ovarian,-,Treatment response,Chemotherapy,Paclitaxel,Caspase 3/7 EC50,-,-,2
Colorectal cancer (oestrogen-progestogen hormone therapy interaction),Colorectal,-,Interaction,Oestrogen,Progestogen,Hormone therapy,-,-,1
Non-cardia gastric cancer,Gastric,Non-cardia,-,-,-,-,-,-,8
Colorectal or endometrial cancer,Colorectal,Endometrial,-,-,-,-,-,-,29
Survival in colorectal cancer (distant metastatic),Colorectal,-,Survival,Metastasis,Distant,-,-,-,4
Survival in colorectal cancer,Colorectal,-,Survival,-,-,-,-,-,1
Survival in colorectal cancer (non-distant metastatic),Colorectal,-,Survival,Metastasis,Non-Distant,-,-,-,1
Response to Pazopanib in cancer (hepatotoxicity),Cancer,-,Treatment response,Chemotherapy,Adverse effect,Toxicity,Liver,-,1
Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy,Lymphoma,Diffuse B-cell,Treatment response,Event free survival,Immunochemotherapy,-,-,-,2
Prostate cancer (survival),Prostate,-,Survival,-,-,-,-,-,4
Anthracycline-induced cardiotoxicity in childhood cancer,Childhood,-,Chemotherapy,Adverse response,Toxicity,Anthacyline,-,-,2
Cutaneous malignant melanoma,Melanoma,-,Cutaneous,-,-,-,-,-,16
Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab),Colorectal,-,Interaction,Chemotherapy,Treatment response,Progression free survival,"CAPOX-B, Cetuximab",NA,3
Progression free survival in metastatic colorectal cancer (chemotherapy interaction),Colorectal,-,Interaction,Chemotherapy,Treatment response,Progression free survival,-,-,1
Multiple myeloma (survival),Myeloma,-,Survival,-,-,-,-,-,1
Cardia gastric cancer,Gastric,Cardia,-,-,-,-,-,-,1
Gastric adenocarcinoma (histologically verified),Gastric,Adenocarcinoma,-,-,-,-,-,-,7
Multiple myeloma and monoclonal gammopathy,Myeloma,-,Monoclonal gammopathy,-,-,-,-,-,9
Obesity in adult survivors of childhood cancer exposed to cranial radiation,Childhood,-,Treatment response,Cranial radiation exposure,Obesity,-,-,-,4
Obesity in adult survivors of childhood cancer not exposed to cranial radiation,Childhood,-,Treatment response,Cranial radiation exposure,Obesity,-,-,-,1
Prostate cancer aggressiveness,Prostate,-,Agressiveness,-,-,-,-,-,3
Breast cancer (survival),Breast,-,Survival,-,-,-,-,-,9
Disease-free survival in breast cancer,Breast,-,Disease free survival time,-,-,-,-,-,2
Survival in rectal cancer,Rectal,-,Survival,-,-,-,-,-,18
Survival in colon cancer,Colorectal,-,Survival,-,-,-,-,-,12
Survival in microsatellite instability low/stable colorectal cancer,Colorectal,-,Survival,Microsatellite instability,-,-,-,-,12
Platinum-induced myelosuppression in non-small cell lung cancer,Lung,Non-small cell,Chemotherapy,Treatment response,Myelosupression,Platinum,-,-,1
Colorectal cancer (aspirin and/or NSAID use interaction),Colorectal,-,Interaction,NSAID,-,-,-,-,2
Colorectal cancer (calcium intake interaction),Colorectal,-,Interaction,Calcium intake,-,-,-,-,3
Non-small cell lung cancer (survival),Lung,Non-small cell,Survival,-,-,-,-,-,6
Response to chemotherapy in breast cancer (hypertension) (bevacizumab),Breast,-,Treatment response,Chemotherapy,Bevacizumab,-,-,-,3
Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab),Breast,-,Treatment response,Chemotherapy,Bevacizumab,-,-,-,13
Response to radiotherapy in prostate cancer (toxicity),Prostate,-,Treatment response,Radiotherapy,Adverse effects,Toxicity,-,-,1
Glioma (high-grade),Glioma,High grade,-,-,-,-,-,-,6
Urinary bladder cancer,Bladder,Urinary,-,-,-,-,-,-,7
Response to radiotherapy in cancer (late toxicity),Cancer,-,Treatment response,Radiotherapy,-,-,-,-,10
Colorectal cancer (diet interaction),Colorectal,-,Interaction,Diet,-,-,-,-,13
Non-small cell lung cancer (recurrence rate),Lung,Non-small cell,Recurrence,-,-,-,-,-,2
Bladder cancer (smoking interaction),Bladder,-,Interaction,Smoking,-,-,-,-,5
Lung cancer (smoking interaction),Lung,-,Interaction,Smoking,-,-,-,-,2
Breast cancer (early onset),Breast,Early onset,-,-,-,-,-,-,18
Nasopharyngeal carcinoma (SNP x SNP interaction),Head + Neck,Nasopharyngeal carcinoma,Interaction,SNPxSNP,-,-,-,-,41
"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)",Breast,Triple negative,-,-,-,-,-,-,5
Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined),Esophageal,Adenocarcinoma,?Other,-,-,-,-,-,10
Lobular breast cancer (menopausal hormone therapy interaction),Breast,Lobular,Interaction,Hormone therapy,Menopause,-,-,-,2
Breast cancer (menopausal hormone therapy interaction),Breast,-,Interaction,Hormone replacement therapy,Menopause,-,-,-,2
Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5FU),Breast,-,Chemotherapy,Adverse response,Hair Loss,-,-,-,3
Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU),Breast,-,Chemotherapy,Adverse response,Hair Loss,-,-,-,8
Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel),Breast,-,Chemotherapy,Adverse response,Hair Loss,-,-,-,5
Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel),Breast,-,Chemotherapy,Adverse response,Hair Loss,-,-,-,4
Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule),Breast,-,Chemotherapy,Adverse response,Hair Loss,-,-,-,7
Adverse response to chemotherapy in breast cancer (alopecia),Breast,-,Chemotherapy,Adverse response,Hair Loss,-,-,-,3
Esophageal squamous cell cancer (length of survival),Head + Neck,Esophageal squamous cell,Survival time,-,-,-,-,-,1
Breast cancer in BRCA2 mutation carriers,Breast,-,BRCA2,-,-,-,-,-,6
Estradiol plasma levels (breast cancer),Breast,-,Estradiol plasma levels,-,-,-,-,-,18
Multiple myeloma (IgH translocation),Myeloma,-,IgH Translocation,-,-,-,-,-,25
Multiple myeloma (hyperdiploidy),Myeloma,-,Hyperdiploidy,-,-,-,-,-,14
Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer,Lung,Non-small cell,Treatment response,Chemotherapy,"Irinotecan, Platinum",-,-,-,7
Urinary symptoms in response to radiotherapy in prostate cancer,Prostate,-,Adverse effects,Radiotherapy,Urinary sypmtoms,-,-,-,1
Breast cancer (prognosis),Breast,-,Prognosis,-,-,-,-,-,5
Colorectal cancer (SNP x SNP interaction),Colorectal,-,Interaction,SNPxSNP,-,-,-,-,7
Non-small cell lung cancer,Lung,Non-small cell,-,-,-,-,-,-,17
Lung Cancer (DNA repair capacity),Lung,-,DNA Repair,NA,-,-,-,-,2
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)",Lung,Gastric,Squamous cell,-,-,-,-,-,7
Breast cancer (male),Breast,Male,-,-,-,-,-,-,3
Esophageal cancer  (alcohol interaction),NA,NA,NA,NA,NA,NA,NA,NA,NA
Esophageal cancer (squamous cell),Head + Neck,Esophageal squamous cell,-,-,-,-,-,-,7
Response to platinum-based chemotherapy in non-small-cell lung cancer,Lung,Non-small cell,Treatment response,Chemotherapy,Platinum,-,-,-,6
Response to irinotecan in non-small-cell lung cancer,Lung,Non-small cell,Treatment response,Chemotherapy,Irinotecan,-,-,-,2
Lung cancer (asbestos exposure interaction),Lung,-,Interaction,Asbestos,-,-,-,-,2
Response to gemcitabine in pancreatic cancer,Pancreatic,-,Treatment response,Chemotherapy,Gemcitabine,-,-,-,5
Prostate cancer (SNP x SNP interaction),Prostate,-,Interaction,SNPxSNP,-,-,-,-,51
Response to tamoxifen in breast cancer,Breast,-,Treatment response,-,-,-,-,-,1
Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes,Pancreatic,Insulinoma,Antigen-2 Autoantibody,Type 1 Diabetes,-,-,-,-,1
Esophageal cancer,Head + Neck,-,-,-,-,-,-,-,13
Testicular cancer,Testicular,-,-,-,-,-,-,-,3
Small-cell lung cancer (survival),Lung,Small cell,Survival,-,-,-,-,-,1
Erectile dysfunction and prostate cancer treatment,Prostate,-,Treatment response,Adverse effects,Erectile dysfunction,-,-,-,23
Esophageal cancer and gastric cancer,Head + Neck,Gastric,-,-,-,-,-,-,4
Testicular germ cell cancer,Testicular,Germ cell,-,-,-,-,-,-,6
"Thyroid cancer (Papillary, radiation-related)",Thyroid,Papillary,Radiation-related,-,-,-,-,-,1
Neuroblastoma (high-risk),Neuroblastoma,-,High-risk,-,-,-,-,-,1
